Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date
"10107","","","None","127.0.0.1","tcp","8834","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

NessusWWW","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30"
"10147","","","None","127.0.0.1","tcp","8834","Nessus Server Detection","A Nessus daemon is listening on the remote port.","A Nessus daemon is listening on the remote port.","Ensure that the remote Nessus installation has been authorized.","https://www.tenable.com/products/nessus/nessus-professional","
  URL     : https://127.0.0.1:8834/
  Version : unknown
","","","","","None","","IAVT:0001-T-0673","","1999/10/12","2023/02/08"
"10863","","","None","127.0.0.1","tcp","8834","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Organization: Nessus Users United
Organization Unit: Nessus Server
Locality: New York
Country: US
State/Province: NY
Common Name: 961861b13a87

Issuer Name: 

Organization: Nessus Users United
Organization Unit: Nessus Certification Authority
Locality: New York
Country: US
State/Province: NY
Common Name: Nessus Certification Authority

Serial Number: 00 E4 BE 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Oct 10 06:21:36 2023 GMT
Not Valid After: Oct 09 06:21:36 2027 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 B4 E3 4D E9 0D FC 56 2D 0F 9B FB A1 82 61 BF E1 F5 BE 9C 
            A7 08 7C D0 31 77 F8 B5 EF F9 C0 45 AF 47 64 BE 85 87 43 0B 
            DC 80 03 26 27 56 1B 53 A3 7F 34 35 EF 9E 0F 5E 72 FE 58 A2 
            F0 02 87 D8 D3 77 E7 B7 3B D4 DA 53 79 79 9D 29 06 A5 14 F7 
            08 DF 01 06 31 BC E5 95 50 D3 F9 B5 5C 55 FD A8 00 FA A0 4C 
            26 F4 34 8A 37 55 96 8C 60 BC 7D 72 C1 8F 4F 3B 81 27 35 6D 
            8E DE 38 C0 E6 2A F7 FF D3 02 3A A6 46 47 08 56 97 E3 9D 89 
            8A B9 32 B0 F2 18 68 04 81 3E 78 B7 97 48 2C 80 9B 8F 3A 42 
            44 E0 CB 56 53 96 04 93 33 C5 AB A6 C0 78 F0 68 19 BA 4A 94 
            AC F8 32 CD 8E 19 32 5B 17 DF 14 9E 3A D9 49 AF AC 4B 6A 81 
            31 23 C7 21 A8 94 18 9F C4 AD 7A C9 1C 58 11 41 6B 54 EC DC 
            45 19 5A 1D 0E 7C B8 06 EE 61 E0 39 10 1A 45 05 5C 38 4A 70 
            F9 16 38 A0 18 6A 3A 23 F6 AF 44 24 F4 DB BB DC BF 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 36 18 E2 A3 C0 C4 25 64 E3 4E 81 3D A6 A7 B9 98 F0 7F 1A 
           4E DF 46 F4 F7 B1 23 8F F2 96 3E B9 07 58 33 04 1B FA 03 75 
           5E 8D 47 AE E0 D2 FA 33 D1 61 FE 9B B9 15 09 D9 50 CA D3 15 
           C2 7D 61 77 9D 81 4D 66 2B 71 46 86 61 09 36 10 F0 B6 05 21 
           27 64 9E A6 F1 6A 0D 23 10 87 50 19 F4 17 94 20 06 0D 37 38 
           22 08 14 AC 71 D7 7C C3 8B 5E 30 CC 11 C3 23 00 17 A9 BB E8 
           4E 4E D0 EA B4 36 E8 B3 25 3D 77 4F 82 C1 DE 84 C2 E8 E8 01 
           BD 67 0C F1 3E 98 A8 75 89 2B 8B DA E9 56 FB 5C 92 FF BD 44 
           7F AD C1 09 A7 C8 0B FE D6 44 64 68 00 26 5B 64 04 AA 52 0F 
           47 32 40 25 71 D2 AE 65 55 A3 2A 25 CA 9B BB A9 0D 5B E5 65 
           CB 5F 24 3D EE DD A1 4B 58 C7 66 72 B8 38 CC A4 DD 0B D1 72 
           37 D3 2F 2F 6A 8B 54 1C A2 64 15 8A CA AB C6 65 4F CD BD A4 
           F8 D7 96 FD 94 3F 70 ED B7 FC 04 F4 78 50 27 9C 1C 

Extension: 2.16.840.1.113730.1.1
Critical: 0
Data: 03 02 06 40 


Extension: Key Usage (2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Non Repudiation, Key Encipherment


Fingerprints : 

SHA-256 Fingerprint: 08 19 4D 2A 59 DA C1 F6 6F 69 D5 32 B1 04 DA A9 63 DC 4C 30 
                     61 6B 50 84 7C 62 FC 0C A5 16 80 D2 
SHA-1 Fingerprint: 52 85 AC D9 7F 93 30 F6 5E 64 69 D8 D9 AF 73 EA 88 D5 5A 43 
MD5 Fingerprint: BD F9 4C BE A0 38 AE 90 A0 FC CD 9C EA 54 AC 5F 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIDujCCAqKgAwIBAgIDAOS+MA0GCSqGSIb3DQEBCwUAMIGdMRwwGgYDVQQKDBNOZXNzdXMgVXNlcnMgVW5pdGVkMScwJQYDVQQLDB5OZXNzdXMgQ2VydGlmaWNhdGlvbiBBdXRob3JpdHkxETAPBgNVBAcMCE5ldyBZb3JrMQswCQYDVQQGEwJVUzELMAkGA1UECAwCTlkxJzAlBgNVBAMMHk5lc3N1cyBDZXJ0aWZpY2F0aW9uIEF1dGhvcml0eTAeFw0yMzEwMTAwNjIxMzZaFw0yNzEwMDkwNjIxMzZaMHoxHDAaBgNVBAoME05lc3N1cyBVc2VycyBVbml0ZWQxFjAUBgNVBAsMDU5lc3N1cyBTZXJ2ZXIxETAPBgNVBAcMCE5ldyBZb3JrMQswCQYDVQQGEwJVUzELMAkGA1UECAwCTlkxFTATBgNVBAMMDDk2MTg2MWIxM2E4NzCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALTjTekN/FYtD5v7oYJhv+H1vpynCHzQMXf4te/5wEWvR2S+hYdDC9yAAyYnVhtTo380Ne+eD15y/lii8AKH2NN357c71NpTeXmdKQalFPcI3wEGMbzllVDT+bVcVf2oAPqgTCb0NIo3VZaMYLx9csGPTzuBJzVtjt44wOYq9//TAjqmRkcIVpfjnYmKuTKw8hhoBIE+eLeXSCyAm486QkTgy1ZTlgSTM8WrpsB48GgZukqUrPgyzY4ZMlsX3xSeOtlJr6xLaoExI8chqJQYn8SteskcWBFBa1Ts3EUZWh0OfLgG7mHgORAaRQVcOEpw+RY4oBhqOiP2r0Qk9Nu73L8CAwEAAaMlMCMwEQYJYIZIAYb4QgEBBAQDAgZAMA4GA1UdDwEB/wQEAwIF4DANBgkqhkiG9w0BAQsFAAOCAQEANhjio8DEJWTjToE9pqe5mPB/Gk7fRvT3sSOP8pY+uQdYMwQb+gN1Xo1HruDS+jPRYf6buRUJ2VDK0xXCfWF3nYFNZitxRoZhCTYQ8LYFISdknqbxag0jEIdQGfQXlCAGDTc4IggUrHHXfMOLXjDMEcMjABepu+hOTtDqtDbosyU9d0+Cwd6EwujoAb1nDPE+mKh1iSuL2ulW+1yS/71Ef63BCafIC/7WRGRoACZbZASqUg9HMkAlcdKuZVWjKiXKm7upDVvlZctfJD3u3aFLWMdmcrg4zKTdC9FyN9MvL2qLVByiZBWKyqvGZU/NvaT415b9lD9w7bf8BPR4UCecHA==
-----END CERTIFICATE-----","","","","","None","","","","2008/05/19","2021/02/03"
"11219","","","None","127.0.0.1","tcp","8834","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 8834/tcp was found to be open","","","","","None","","","","2009/02/04","2025/02/12"
"11936","","","None","127.0.0.1","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Ubuntu Linux 18.04
Confidence level : 100
Method : LinuxDistribution

 
The remote host is running Ubuntu Linux 18.04","","","","","None","","","","2003/12/09","2025/03/31"
"12053","","","None","127.0.0.1","tcp","0","Host Fully Qualified Domain Name (FQDN) Resolution","It was possible to resolve the name of the remote host.","Nessus was able to resolve the fully qualified domain name (FQDN) of
the remote host.","n/a","","
127.0.0.1 resolves as localhost.
","","","","","None","","","","2004/02/11","2025/03/13"
"19506","","","None","127.0.0.1","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.2.0
Nessus build : 20075
Plugin feed version : 202505071551
Scanner edition used : Nessus

ERROR: Your plugins have not been updated since 2025/5/7
Performing a scan with an older plugin set will yield out-of-date results and
produce an incomplete audit. Please run nessus-update-plugins to get the
newest vulnerability checks from Nessus.org.

Scanner OS : LINUX
Scanner distribution : ubuntu1110-x86-64
Scan type : Normal
Scan name : 1
Scan policy used : Basic Network Scan
Scanner IP : 127.0.0.1
Ping RTT : Unavailable
Thorough tests : no
Experimental tests : no
Scan for Unpatched Vulnerabilities : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : yes (on the localhost)
Attempt Least Privilege : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin did not launch)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 30
Max checks : 4
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2025/6/9 11:51 CST (UTC +08:00)
Scan duration : 153 sec
Scan for malware : no
","","","","","None","","","","2005/08/26","2024/12/31"
"21643","","","None","127.0.0.1","tcp","8834","SSL Cipher Suites Supported","The remote service encrypts communications using SSL.","This plugin detects which SSL ciphers are supported by the remote
service for encrypting communications.","n/a","https://www.openssl.org/docs/man1.0.2/man1/ciphers.html
http://www.nessus.org/u?e17ffced","
Here is the list of SSL ciphers supported by the remote server :
Each group is reported per SSL Version.

SSL Version : TLSv13
  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    TLS_AES_128_GCM_SHA256        0x13, 0x01       -             -        AES-GCM(128)           AEAD
    TLS_AES_256_GCM_SHA384        0x13, 0x02       -             -        AES-GCM(256)           AEAD
    TLS_CHACHA20_POLY1305_SHA256  0x13, 0x03       -             -        ChaCha20-Poly1305(256) AEAD


SSL Version : TLSv12
  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    ECDHE-RSA-AES128-SHA256       0xC0, 0x2F       ECDH          RSA      AES-GCM(128)           SHA256
    ECDHE-RSA-AES256-SHA384       0xC0, 0x30       ECDH          RSA      AES-GCM(256)           SHA384

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
","","","","","None","","","","2006/06/05","2024/09/11"
"22869","","","None","127.0.0.1","tcp","0","Software Enumeration (SSH)","It was possible to enumerate installed software on the remote host via
SSH.","Nessus was able to list the software installed on the remote host by
calling the appropriate command (e.g., 'rpm -qa' on RPM-based Linux
distributions, qpkg, dpkg, etc.).","Remove any software that is not in compliance with your organization's
acceptable use and security policies.","","
Here is the list of packages installed on the remote Debian Linux system :

  dpkg-query: error: failed to open package info file '/var/lib/dpkg/status' for reading: No such file or directory
","","","","","None","","IAVT:0001-T-0502","","2006/10/15","2025/03/26"
"22964","","","None","127.0.0.1","tcp","8834","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","A TLSv1.2 server answered on this port.
","","","","","None","","","","2007/08/19","2024/03/26"
"22964","","","None","127.0.0.1","tcp","8834","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","A web server is running on this port through TLSv1.2.","","","","","None","","","","2007/08/19","2024/03/26"
