plugin_id,cve,cvss_v2_0_base_score,fingerprint,risk,host,protocol,port,name,synopsis,description,solution,see_also,plugin_output,stig_severity,cvss_v3_0_base_score,cvss_v2_0_temporal_score,cvss_v3_0_temporal_score,risk_factor,bid,xref,mskb,plugin_publication_date,plugin_modification_date,timestamp,is_indexed_to_chroma,id,uuid
45411,,5.0,056482fc0068c658,Medium,127.0.0.1,tcp,8834,SSL Certificate with Wrong Hostname,The SSL certificate for this service is for a different host.,"The 'commonName' (CN) attribute of the SSL certificate presented for
this service is for a different machine.",Purchase or generate a proper SSL certificate for this service.,,"
The identities known by Nessus are :

  ce419ca758b2
  localhost

The Common Name in the certificate is :

  961861b13a87
",,5.3,-1.0,-1.0,Medium,,,,2010_04_03,2020_04_27,2025_06_18,,21,BGnjYPqrTrG
51192,,6.4,7281e1caff071dd0,Medium,127.0.0.1,tcp,8834,SSL Certificate Cannot Be Trusted,The SSL certificate for this service cannot be trusted.,"The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.",Purchase or generate a proper SSL certificate for this service.,"https://www.itu.int/rec/T-REC-X.509/en
https://en.wikipedia.org/wiki/X.509","
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : O=Nessus Users United/OU=Nessus Server/L=New York/C=US/ST=NY/CN=961861b13a87
|-Issuer  : O=Nessus Users United/OU=Nessus Certification Authority/L=New York/C=US/ST=NY/CN=Nessus Certification Authority
",,6.5,-1.0,-1.0,Medium,,,,2010_12_15,2020_04_27,2025_06_18,,22,X8Pbd5kmFOA
166600,"CVE-2020-28458,CVE-2021-23445,CVE-2022-2309,CVE-2022-23308,CVE-2022-24785,CVE-2022-29824,CVE-2022-31129,CVE-2022-37434,CVE-2022-40674",7.5,581cefb38e66a535,Critical,127.0.0.1,tcp,0,Tenable Nessus 10.x < 10.3.1 Multiple Vulnerabilities (TNS-2022-20),Tenable Nessus running on the remote host is affected by multiple vulnerabilities.,"According to its self-reported version, the Tenable Nessus application running on the remote host is 10.x prior to 
10.3.1. It is, therefore, affected by multiple vulnerabilities, including:

  - A use-after-free vulnerability in the doContent function in xmlparse.c in libexpat. (CVE-2022-40674)

  - A path traversal vulnerability in the locale string handling functionality of Moment.js. (CVE-2022-24785)

  - A denial of service vulnerability in the string-to-date parsing functinality in Moment.js (CVE-2022-31129)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version   
number.",Upgrade to Tenable Nessus version 10.3.1 or later.,https://www.tenable.com/security/tns-2022-20,"
  Path              : /opt/nessus
  Installed version : 10.2.0
  Fixed version     : 10.3.1
",I,9.8,6.2,9.1,High,,IAVA:2023-A-0059-S,,2022_10_27,2024_02_16,2025_06_18,,23,6AMrOpoYCRz
166670,"CVE-2016-10744,CVE-2021-41182,CVE-2021-41183,CVE-2021-41184,CVE-2022-31160,CVE-2022-3498,CVE-2022-3499",4.3,13cfec75e85f9f13,Medium,127.0.0.1,tcp,0,Tenable Nessus 10.x < 10.4.0 Multiple Vulnerabilities (TNS-2022-21),Tenable Nessus running on the remote host is affected by multiple vulnerabilities.,"According to its self-reported version, the Tenable Nessus application running on the remote host is 10.x prior to 
10.4.0. It is, therefore, affected by multiple vulnerabilities, including:

  - An authenticated attacker could utilize the identical agent and cluster node linking keys to potentially allow for a
    scenario where unauthorized disclosure of agent logs and data is present. (CVE-2022-3499)
  
  - An authenticated attacker could modify the client-side behavior to bypass the protection mechanisms resulting in
    potentially unexpected interactions between the client and server. (CVE-2022-3498)

  - Cross-site scripting in the checkboxradio widget in JQuery UI. (CVE-2022-31160)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version   
number.",Upgrade to Tenable Nessus version 10.4.0 or later.,https://www.tenable.com/security/tns-2022-21,"
  Path              : /opt/nessus
  Installed version : 10.2.0
  Fixed version     : 10.4.0
",,6.5,3.6,6.0,Medium,,,,2022_10_28,2024_06_13,2025_06_18,,24,6zeqYeLph0z
166959,"CVE-2022-3602,CVE-2022-3786,CVE-2022-43680",7.8,63274a34a7d3ce02,High,127.0.0.1,tcp,0,Tenable Nessus 10.x < 10.3.2 Multiple Vulnerabilities (TNS-2022-23),Tenable Nessus running on the remote host is affected by multiple vulnerabilities.,"According to its self-reported version, the Tenable Nessus application running on the remote host is 10.x prior to 
10.3.2. It is, therefore, affected by multiple vulnerabilities, including:

  - A buffer overrun can be triggered in X.509 certificate verification, specifically in name constraint checking.
  (CVE-2022-3786, CVE-2022-3602)

  - In libexpat through 2.4.9, there is a use-after free caused by overeager destruction of a shared DTD in
    XML_ExternalEntityParserCreate in out-of-memory situations. (CVE-2022-43680)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version   
number.",Upgrade to Tenable Nessus version 10.3.2 or later.,https://www.tenable.com/security/tns-2022-23,"
  Path              : /opt/nessus
  Installed version : 10.2.0
  Fixed version     : 10.3.2
",I,7.5,6.1,6.7,High,,IAVA:2022-A-0452-S;CEA-ID:CEA-2022-0036,,2022_11_04,2023_10_05,2025_06_18,,25,XA7WMO7NHDA
170167,CVE-2023-0101,9.0,39a57931b2c2a561,High,127.0.0.1,tcp,0,Tenable Nessus 10.x < 10.4.2 Privilege Escalation (TNS-2023-01),Tenable Nessus running on the remote host is affected by a privilege escalation vulnerability.,"According to its self-reported version, the Tenable Nessus application running on the remote host is 10.x prior to 
10.4.2. It is, therefore, affected by a privilege escalation vulnerability. An authenticated attacker could potentially 
execute a specially crafted file to obtain Root or NT AUTHORITY / SYSTEM privileges on the Nessus host.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version   
number.",Upgrade to Tenable Nessus version 10.4.2 or later.,https://www.tenable.com/security/tns-2023-01,"
  Path              : /opt/nessus
  Installed version : 10.2.0
  Fixed version     : 10.4.2
",I,8.8,7.4,8.2,High,,IAVA:2023-A-0050-S,,2023_01_19,2023_09_21,2025_06_18,,26,DzOV9arOfBA
172124,"CVE-2019-11358,CVE-2020-11023,CVE-2020-28458,CVE-2020-7656,CVE-2021-23445,CVE-2022-4203,CVE-2022-4304,CVE-2022-4450,CVE-2023-0215,CVE-2023-0216,CVE-2023-0217,CVE-2023-0401",7.5,4a589a25a81ffd40,High,127.0.0.1,tcp,0,Tenable Nessus <= 10.4.2 Multiple Vulnerabilities (TNS-2023-09),Tenable Nessus running on the remote host is affected by multiple vulnerabilities.,"According to its self-reported version, the Tenable Nessus application running on the remote host is 10.4.2 or 
earlier. It is, therefore, affected by multiple vulnerabilities in OpenSSL prior to version 3.0.8, spin.js prior 
to version 2.3.2, and datatables.net prior to version 1.13.2:
    
    - An attacker that had observed a genuine connection between a client and a server could use the flaw to send trial 
      messages to the server and record the time taken to process them. After a sufficiently large number of messages 
      the attacker could recover the pre-master secret used for the original connection. (CVE-2022-4304)

    - The function PEM_read_bio_ex() reads a PEM file from a BIO and parses and decodes any header data and the payload 
      data. Under certain conditions, a double free will occur. This will most likely lead to a crash. (CVE-2022-4450)

    - The public API function BIO_new_NDEF is a helper function used for streaming ASN.1 data via a BIO. Under certain conditions, 
      the BIO chain is not properly cleaned up and the BIO passed by the caller still retains internal pointers to the previously 
      freed filter BIO. This will most likely result in a crash. (CVE-2023-0215)

    - An invalid pointer dereference on read can be triggered when an application tries to load malformed PKCS7 data. The result of the 
      dereference is an application crash which could lead to a denial of service attack. (CVE-2023-0216)

    - An invalid pointer dereference on read can be triggered when an application tries to check a malformed DSA public key by the 
      EVP_PKEY_public_check() function. This will most likely lead to an application crash. (CVE-2023-0217)

    - A NULL pointer can be dereferenced when signatures are being verified on PKCS7 signed or signedAndEnveloped data. In case the hash 
      algorithm used for the signature is known to the OpenSSL library but the implementation of the hash algorithm is not available the 
      digest initialization will fail. (CVE-2023-0401) 

    - A read buffer overrun can be triggered in X.509 certificate verification, specifically in name constraint checking, which
      might result in a crash which could lead to a denial of service attack. (CVE-2022-4203)

    - All versions of package datatables.net are vulnerable to Prototype Pollution due to an incomplete fix for 
      https:/snyk.io/vuln/SNYK-JS-DATATABLESNET-598806. (CVE-2020-28458)

    - With the package datatables.net before 1.11.3 if an array is passed to the HTML escape entities function it would not 
      have its contents escaped. (CVE-2021-23445)

    - jQuery before 3.4.0, as used in Drupal, Backdrop CMS, and other products, mishandles jQuery.extend(true, {}, ...) because of 
      Object.prototype pollution. If an unsanitized source object contained an enumerable __proto__ property, it could extend the 
      native Object.prototype. (CVE-2019-11358)

    - In jQuery versions greater than or equal to 1.0.3 and before 3.5.0, passing HTML containing <option> elements from untrusted 
      sources, even after sanitizing it, to one of jQuery DOM manipulation methods may execute untrusted code. (CVE-2020-11023)

    - jquery prior to 1.9.0 allows Cross-site Scripting attacks via the load method that fails to recognize and remove <script> 
      HTML tags that contain a whitespace character and trigger execution of the enclosed script logic. (CVE-2020-7656)",Upgrade to Tenable Nessus version 10.5.0 or later.,"https://www.tenable.com/security/tns-2023-09
http://www.nessus.org/u?8230254d","
  Path              : /opt/nessus
  Installed version : 10.2.0
  Fixed version     : 10.5.0
",,7.3,6.2,6.8,High,,CEA-ID:CEA-2021-0025;CEA-ID:CEA-2021-0004;CISA-KNOWN-EXPLOITED:2025/02/13,,2023_03_06,2025_01_24,2025_06_18,,27,5AmvYPVrt2z
175427,"CVE-2022-29824,CVE-2023-28484,CVE-2023-29469",4.3,67f7bea8a5cb1ad5,Medium,127.0.0.1,tcp,0,Tenable Nessus < 10.5.2 Multiple Vulnerabilities (TNS-2023-20),An instance of Nessus installed on the remote system is affected by multiple vulnerabilities.,"According to its self-reported version, the Tenable Nessus application running on the remote host is prior to 10.5.2. It
is, therefore, affected by multiple vulnerabilities as referenced in the TNS-2023-20 advisory.

  - Nessus leverages third-party software to help provide underlying functionality. Several of the third-party
    components (libxml2, libxslt) were found to contain vulnerabilities, and updated versions have been made
    available by the provider.    Out of caution and in line with best practice, Tenable has opted to upgrade
    these components to address the potential impact of the issues. Nessus 10.5.2 updates libxml2 to version
    2.11.1 and libxslt to version 1.1.37 to address the identified vulnerabilities. Tenable has released
    Nessus 10.5.2 to address these issues. The installation files can be obtained from the Tenable Downloads
    Portal (https://www.tenable.com/downloads/nessus). (CVE-2022-29824, CVE-2023-28484, CVE-2023-29469)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version
number.",Upgrade to Tenable Nessus 10.5.2 or later.,"http://www.nessus.org/u?41bd64ec
https://www.tenable.com/security/TNS-2023-20","
  Path              : /opt/nessus
  Installed version : 10.2.0
  Fixed version     : 10.5.2
",,6.5,3.6,6.0,Medium,,,,2023_05_12,2024_06_13,2025_06_18,,28,Jz9kM9r3fDG
177925,"CVE-2023-0465,CVE-2023-0466,CVE-2023-1255,CVE-2023-2650",5.0,5be47b2b8820731c,Medium,127.0.0.1,tcp,0,Tenable Nessus < 10.5.3 Multiple Vulnerabilities (TNS-2023-22),An instance of Nessus installed on the remote system is affected by multiple vulnerabilities.,"According to its self-reported version, the Tenable Nessus application running on the remote host is prior to 10.5.3. It
is, therefore, affected by multiple vulnerabilities as referenced in the TNS-2023-22 advisory.

  - Nessus leverages third-party software to help provide underlying functionality. One of the third-party
    components (OpenSSL) was found to contain vulnerabilities, and updated versions have been made available
    by the provider. Out of caution and in line with best practice, Tenable has opted to upgrade these
    components to address the potential impact of the issues. Nessus 10.5.3 updates OpenSSL to version 3.0.9
    to address the identified vulnerabilities. Tenable has released Nessus 10.5.3 to address these issues.
    The installation files can be obtained from the Tenable Downloads Portal
    (https://www.tenable.com/downloads/nessus). (CVE-2023-0465, CVE-2023-0466, CVE-2023-1255, CVE-2023-2650)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version
number.",Upgrade to Tenable Nessus 10.5.3 or later.,"http://www.nessus.org/u?48b7ba11
https://www.tenable.com/security/TNS-2023-22","
  Path              : /opt/nessus
  Installed version : 10.2.0
  Fixed version     : 10.5.3
",,5.3,3.7,4.6,Medium,,,,2023_07_04,2024_06_13,2025_06_18,,29,JzdqYPaphj8
179358,"CVE-2023-3446,CVE-2023-3817",5.0,c7eabe4e8cb22708,Medium,127.0.0.1,tcp,0,Tenable Nessus < 10.5.4 Multiple Vulnerabilities (TNS-2023-27),An instance of Nessus installed on the remote system is affected by multiple vulnerabilities.,"According to its self-reported version, the Tenable Nessus application running on the remote host is prior to 10.5.4. It
is, therefore, affected by multiple vulnerabilities as referenced in the TNS-2023-27 advisory.

  - Nessus leverages third-party software to help provide underlying functionality. One of the third-party
    components (OpenSSL) was found to contain vulnerabilities, and updated versions have been made available
    by the provider. Out of caution and in line with best practice, Tenable has opted to upgrade these
    components to address the potential impact of the issues. Nessus 10.5.4 updates OpenSSL to version 3.0.10
    to address the identified vulnerabilities. Tenable has released Nessus 10.5.4 to address these issues.
    The installation files can be obtained from the Tenable Downloads Portal
    (https://www.tenable.com/downloads/nessus). (CVE-2023-3446, CVE-2023-3817)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version
number.",Upgrade to Tenable Nessus 10.5.4 or later.,"http://www.nessus.org/u?b1d3eebd
https://www.tenable.com/security/TNS-2023-27","
  Path              : /opt/nessus
  Installed version : 10.2.0
  Fixed version     : 10.5.4
",I,5.3,3.7,4.6,Medium,,IAVA:2023-A-0606-S,,2023_08_04,2024_06_13,2025_06_18,,30,lAN2mv3MTaA
